CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.02.01.02;Títulos Designados a Valor Justo;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.02.01.03;Caixa restrito;14149.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.02.01.03;Caixa restrito;17453.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.02.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.02.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.02.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.02.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.03;Contas a Receber;33407.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.03;Contas a Receber;77148.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.03.01;Clientes;33407.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.03.01;Clientes;77148.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.03.01.01;Contas a receber e outros recebíveis;33407.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.03.01.01;Contas a receber e outros recebíveis;77148.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.03.02;Outras Contas a Receber;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.03.02;Outras Contas a Receber;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.04;Estoques;136787.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.04;Estoques;172973.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.05;Ativos Biológicos;476555.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.05;Ativos Biológicos;402879.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.06;Tributos a Recuperar;94718.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.06;Tributos a Recuperar;72007.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.06.01;Tributos Correntes a Recuperar;94718.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.06.01;Tributos Correntes a Recuperar;72007.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.06.01.01;Impostos e contribuições a recuperar;54264.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.06.01.01;Impostos e contribuições a recuperar;30882.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.06.01.02;Imposto de renda e contribuição social a recuperar;40454.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.06.01.02;Imposto de renda e contribuição social a recuperar;41125.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.07;Despesas Antecipadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.07;Despesas Antecipadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.08;Outros Ativos Circulantes;43405.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.08;Outros Ativos Circulantes;79286.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.08.01;Ativos Não-Correntes a Venda;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.08.01;Ativos Não-Correntes a Venda;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.08.02;Ativos de Operações Descontinuadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.08.02;Ativos de Operações Descontinuadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.08.03;Outros;43405.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.08.03;Outros;79286.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.08.03.01;Adiantamentos a fornecedores;4804.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.08.03.01;Adiantamentos a fornecedores;1587.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.08.03.02;Instrumentos financeiros derivativos;24077.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.08.03.02;Instrumentos financeiros derivativos;61765.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.08.03.03;Dividendos a receber;9659.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.08.03.03;Dividendos a receber;11653.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.01.08.03.04;Outros;4865.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.01.08.03.04;Outros;4281.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02;Ativo Não Circulante;4016909.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02;Ativo Não Circulante;4246976.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01;Ativo Realizável a Longo Prazo;320849.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01;Ativo Realizável a Longo Prazo;174330.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.01.01;Títulos Designados a Valor Justo;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.01.01;Títulos Designados a Valor Justo;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;7611.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;2129.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.03.01;Caixa restrito;7611.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.03.01;Caixa restrito;2129.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.04;Contas a Receber;11172.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.04;Contas a Receber;9839.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.04.01;Clientes;0.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.04.01;Clientes;0.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.04.02;Contas a Receber e outros recebíveis;11172.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.04.02;Contas a Receber e outros recebíveis;9839.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.05;Estoques;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.05;Estoques;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.06;Ativos Biológicos;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.06;Ativos Biológicos;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.07;Tributos Diferidos;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.07;Tributos Diferidos;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.07.01;Imposto de Renda e Contribuição Social Diferidos;0.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.07.01;Imposto de Renda e Contribuição Social Diferidos;0.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.08;Despesas Antecipadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.08;Despesas Antecipadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.09;Créditos com Partes Relacionadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.09;Créditos com Partes Relacionadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.09.01;Créditos com Coligadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.09.01;Créditos com Coligadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.09.02;Créditos com Controladas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.09.02;Créditos com Controladas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.09.03;Créditos com Controladores;0.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.09.03;Créditos com Controladores;0.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.09.04;Créditos com Outras Partes Relacionadas;0.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.09.04;Créditos com Outras Partes Relacionadas;0.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.10;Outros Ativos Não Circulantes;302066.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.10;Outros Ativos Não Circulantes;162362.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.10.01;Ativos Não-Correntes a Venda;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.10.01;Ativos Não-Correntes a Venda;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.10.02;Ativos de Operações Descontinuadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.10.02;Ativos de Operações Descontinuadas;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.10.03;Impostos e contribuições a recuperar;23536.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.10.03;Impostos e contribuições a recuperar;12230.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.10.04;Imposto de renda e contribuição social a recuperar;0.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.10.04;Imposto de renda e contribuição social a recuperar;0.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.10.05;Depósitos judiciais;110617.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.10.05;Depósitos judiciais;63475.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.01.10.06;Instrumentos financeiros derivativos;167913.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.01.10.06;Instrumentos financeiros derivativos;86657.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.02;Investimentos;1278280.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.02;Investimentos;1540422.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.02.01;Participações Societárias;1278280.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.02.01;Participações Societárias;1540422.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.02.01.01;Participações em Coligadas;79541.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.02.01.01;Participações em Coligadas;85552.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-03-31;1.02.02.01.02;Participações em Controladas;1196737.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-03-31;1.02.02.01.02;Participações em Controladas;1451757.0000000000;S
